"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
4;"I5612";"I 56.12";"Mobile Gastronomie";""
3;"I562";"I 56.2";"Caterer und Erbringung sonstiger Verpflegungsdienstleistungen";""
4;"I5621";"I 56.21";"Event-Caterer";""
4;"I5622";"I 56.22";"Sonstige Caterer und Erbringung sonstiger Verpflegungsdienstleistungen";""
3;"I563";"I 56.3";"Ausschank von Getränken";""
4;"I5630";"I 56.30";"Ausschank von Getränken";""
3;"I564";"I 56.4";"Vermittlungstätigkeiten für gastronomische Dienstleistungen";""
4;"I5640";"I 56.40";"Vermittlungstätigkeiten für gastronomische Dienstleistungen";""
1;"J";"J";"VERLAGSWESEN, RUNDFUNK SOWIE ERSTELLUNG UND VERBREITUNG VON MEDIENINHALTEN";""
2;"J58";"J 58";"Verlagswesen";""
3;"J581";"J 58.1";"Verlegen von Büchern und Zeitungen sowie sonstiges Verlagswesen, ohne Software";""
4;"J5811";"J 58.11";"Verlegen von Büchern";""
4;"J5812";"J 58.12";"Verlegen von Zeitungen";""
4;"J5813";"J 58.13";"Verlegen von Zeitschriften";""
4;"J5819";"J 58.19";"Sonstiges Verlagswesen, ohne Software";""
3;"J582";"J 58.2";"Verlegen von Software";""
4;"J5821";"J 58.21";"Verlegen von Computerspielen";""
4;"J5829";"J 58.29";"Verlegen von sonstiger Software";""
2;"J59";"J 59";"Herstellung, Verleih und Vertrieb von Filmen und Fernsehprogrammen; Kinos; Tonstudios und Verlegen von Musik";""
3;"J591";"J 59.1";"Herstellung von Filmen und Fernsehprogrammen, deren Verleih und Vertrieb, Kinos";""
4;"J5911";"J 59.11";"Herstellung von Filmen, Videofilmen und Fernsehprogrammen";""
4;"J5912";"J 59.12";"Nachbearbeitung und sonstige Filmtechnik";""
4;"J5913";"J 59.13";"Filmverleih und -vertrieb, nicht an private Haushalte";""
4;"J5914";"J 59.14";"Kinos";""
3;"J592";"J 59.2";"Tonstudios; Herstellung von Hörfunkbeiträgen; Verlegen von bespielten Tonträgern und Musikalien";""
4;"J5920";"J 59.20";"Tonstudios; Herstellung von Hörfunkbeiträgen; Verlegen von bespielten Tonträgern und Musikalien";""
2;"J60";"J 60";"Rundfunkveranstalter, Nachrichtenagenturen und sonstige Verbreitung von Medieninhalten";""
3;"J601";"J 60.1";"Hörfunkveranstalter und Verbreitung von Audioinhalten";""
4;"J6010";"J 60.10";"Hörfunkveranstalter und Verbreitung von Audioinhalten";""
3;"J602";"J 60.2";"Fernsehveranstalter und Verbreitung von Videoinhalten";""
4;"J6020";"J 60.20";"Fernsehveranstalter und Verbreitung von Videoinhalten";""
3;"J603";"J 60.3";"Nachrichtenagenturen und sonstige Verbreitung von Medieninhalten";""
4;"J6031";"J 60.31";"Nachrichtenagenturen";""
4;"J6039";"J 60.39";"Sonstige Verbreitung von Medieninhalten";""
1;"K";"K";"TELEKOMMUNIKATION, SOFTWAREENTWICKLUNG, IT-BERATUNG UND ERBRINGUNG SONSTIGER DIENSTLEISTUNGEN DER INFORMATIONSTECHNOLOGIE UND DER COMPUTERINFRASTRUKTUR";""
2;"K61";"K 61";"Telekommunikation";""
3;"K611";"K 61.1";"Leitungsgebundene, drahtlose und satellitengestützte Telekommunikation";""
