"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
4;"I5510";"I 55.10";"Hotels, Gasthöfe und Pensionen";"Hotels, Gasthöfe und Pensionen"
5;"I55101";"I 55.10-1";"Hotels";"Hotels"
5;"I55102";"I 55.10-2";"Gasthöfe";"Gasthöfe"
5;"I55103";"I 55.10-3";"Pensionen";"Pensionen"
3;"I552";"I 55.2";"Ferienunterkünfte und ähnliche Beherbergungsstätten";"Ferienunterkünfte"
4;"I5520";"I 55.20";"Ferienunterkünfte und ähnliche Beherbergungsstätten";"Ferienunterkünfte"
5;"I55201";"I 55.20-1";"Jugendherbergen";"Jugendherbergen"
5;"I55202";"I 55.20-2";"Schutzhütten";"Schutzhütten"
5;"I55203";"I 55.20-3";"Ferienhäuser und Ferienwohnungen";"Ferienhäuser und -wohnungen"
3;"I553";"I 55.3";"Campingplätze";"Campingplätze"
4;"I5530";"I 55.30";"Campingplätze";"Campingplätze"
5;"I55300";"I 55.30-0";"Campingplätze";"Campingplätze"
3;"I559";"I 55.9";"Sonstige Beherbergungsstätten";"Sonst. Beherbergungsstätten"
4;"I5590";"I 55.90";"Sonstige Beherbergungsstätten";"Sonst. Beherbergungsstätten"
5;"I55900";"I 55.90-0";"Sonstige Beherbergungsstätten";"Sonst. Beherbergungsstätten"
2;"I56";"I 56";"Gastronomie";"Gastronomie"
3;"I561";"I 56.1";"Restaurants, Gaststätten, Imbissstuben, Cafés, Eissalons u. Ä.";"Restaurants, Gaststätten, u.Ä."
4;"I5610";"I 56.10";"Restaurants, Gaststätten, Imbissstuben, Cafés, Eissalons u. Ä.";"Restaurants, Gaststätten, u.Ä."
5;"I56101";"I 56.10-1";"Restaurants und Gaststätten";"Restaurants und Gaststätten"
5;"I56102";"I 56.10-2";"Buffets und Imbissstuben";"Buffets und Imbissstuben"
5;"I56103";"I 56.10-3";"Cafehäuser";"Cafehäuser"
5;"I56104";"I 56.10-4";"Eissalons";"Eissalons"
3;"I562";"I 56.2";"Caterer und Erbringung sonstiger Verpflegungsdienstleistungen";"Catering"
4;"I5621";"I 56.21";"Event-Caterer";"Event-Caterer"
5;"I56210";"I 56.21-0";"Event-Caterer";"Event-Caterer"
4;"I5629";"I 56.29";"Erbringung sonstiger Verpflegungsdienstleistungen";"Sonst. Verpflegungsdienstleistungen"
